Month,Year,tmp,rainfall
February,1969,22.9,127
January,1969,22.4,260
July,1969,16.4,0
June,1969,16.9,0
March,1969,22.5,188.7
May,1969,18.3,3.8
November,1969,24.3,47.2
October,1969,24.7,41.1
September,1969,22.2,0
April,1970,20.9,37.7
August,1970,19.2,0
December,1970,22.6,135.4
February,1970,22.8,88.2
January,1970,22.8,110.3
July,1970,17.2,0
June,1970,17.2,0
March,1970,22.6,16.2
May,1970,19.1,0
November,1970,23.6,193.8
October,1970,24.7,10.6
September,1970,23.4,0.2
April,1971,21.7,20.3
August,1971,19,0
December,1971,22.5,179.3
February,1971,22,134.6
January,1971,21.4,276.3
July,1971,16.5,0
June,1971,16.3,0
March,1971,22.8,26.7
May,1971,18,6.2
November,1971,23,112.8
October,1971,24.6,6.7
September,1971,21.9,5.2
April,1972,20.7,37.5
August,1972,18.1,0
December,1972,24.4,114.3
February,1972,22,120.7
January,1972,21.6,286.1
July,1972,15.7,0
June,1972,15.6,0
March,1972,22,68.2
May,1972,18.7,0
November,1972,23.5,28.3
October,1972,24.7,25.7
September,1972,22.8,2.4
April,1973,20.8,14.1
August,1973,18.3,0
December,1973,21.6,257.1
February,1973,22.1,219
January,1973,23.5,173.4
July,1973,16,0
June,1973,16.3,0
March,1973,23.9,37.3
May,1973,19.2,0
November,1973,23.2,90.8
October,1973,25,23.1
September,1973,23.2,2.3
April,1974,19.7,25
August,1974,19,0
December,1974,22,271.9
February,1974,21.5,254.5
January,1974,21.4,235.9
July,1974,15.4,0
June,1974,15.6,0
March,1974,21.6,121.3
May,1974,17.6,18.3
November,1974,23.5,189.8
October,1974,25,2.3
September,1974,21,0
April,1975,20.8,6.5
August,1975,17.7,0
December,1975,22.2,211.8
February,1975,21.7,222.3
January,1975,21.6,221.9
July,1975,16.2,0
June,1975,16.8,0
March,1975,21.6,68.8
May,1975,19,0.4
November,1975,24.8,56
October,1975,23.7,4.6
September,1975,22.1,0
April,1976,20.1,75.6
August,1976,16.8,0
December,1976,23.6,237.1
February,1976,21.7,148
January,1976,21.9,185.1
July,1976,15.4,0
June,1976,16.1,0
March,1976,21.5,237
May,1976,17,8
November,1976,25.1,59.7
October,1976,24.3,18.8
September,1976,22,2.1
April,1977,20.5,8.8
August,1977,18.5,0
December,1977,22.8,285.8
February,1977,22.4,139.6
January,1977,22.9,135
July,1977,16.3,0
June,1977,16.7,0
March,1977,22,138.2
May,1977,19.1,0
November,1977,24.4,95.8
October,1977,26.1,1.4
September,1977,22.7,3
April,1978,20.4,102
August,1978,19.8,0
December,1978,21.8,394.2
February,1978,22.2,226
January,1978,22,282.3
July,1978,14.9,0
June,1978,15.7,0
March,1978,22,241
May,1978,17.8,8.8
November,1978,23.2,56.6
October,1978,24.7,9.8
September,1978,23,0
April,1979,20.9,3.9
August,1979,19.1,0
December,1979,22.2,237.2
February,1979,22.7,138.7
January,1979,22,120.8
July,1979,15.7,0
June,1979,16.1,0
March,1979,22.2,89.2
May,1979,18.4,0
November,1979,23.7,168.3
October,1979,25.2,16.3
September,1979,22.7,0
April,1980,21,40.3
August,1980,18.1,0
December,1980,22.6,196.5
February,1980,23.1,153.3
January,1980,22.7,152.4
July,1980,15.2,0
June,1980,15.5,0
March,1980,22,81
May,1980,18.4,0
November,1980,24.7,88.8
October,1980,24.3,19.1
September,1980,22,0.7
April,1981,20,68
August,1981,18.8,0
December,1981,23.6,102
February,1981,22,329.4
January,1981,22.6,295.5
July,1981,15.3,0
June,1981,15.7,0
March,1981,22.2,107.2
May,1981,17,0
November,1981,24.9,106.3
October,1981,23.7,5.3
September,1981,21.5,0
April,1982,21.4,18
August,1982,18.5,0
December,1982,23.8,102.6
February,1982,23,203.6
January,1982,22.7,326.6
July,1982,16.2,0
June,1982,17.3,0
March,1982,23.4,28
May,1982,18,5.4
November,1982,23.9,119.2
October,1982,23.5,53
September,1982,21.7,0.9
April,1983,22.1,37.5
August,1983,17.9,0
December,1983,23.3,175.8
February,1983,23.6,124.2
January,1983,23.7,175.1
July,1983,17.1,0
June,1983,18.1,0
March,1983,23.8,58.2
May,1983,19.9,3
November,1983,25.5,93.6
October,1983,24.6,11.1
September,1983,22.8,0
April,1984,21,9.1
August,1984,18.5,0
December,1984,22.5,269
February,1984,22.4,176.3
January,1984,23.4,121.5
July,1984,16.6,0
June,1984,17,0
March,1984,22.6,88
May,1984,19.6,0.7
November,1984,23.2,106.6
October,1984,25.7,0.9
September,1984,23.3,0
April,1985,20.8,3.7
August,1985,18.3,0
December,1985,22.6,275.4
February,1985,22.2,193.3
January,1985,22.7,207.3
July,1985,16.5,0
June,1985,16.4,0
March,1985,22.8,100.6
May,1985,18.3,1.9
November,1985,24.2,48
October,1985,24.8,17.8
September,1985,22.8,0
April,1986,20.9,148.6
August,1986,19.1,0
December,1986,23,197.3
February,1986,22.2,126.3
January,1986,22.2,283.2
July,1986,15.8,0
June,1986,16.1,0
March,1986,22.3,89.2
May,1986,18.3,0.2
November,1986,23.9,52.6
October,1986,23.9,54.6
September,1986,22.1,0
April,1987,22.3,1.5
August,1987,19.6,0
December,1987,23.5,179.2
February,1987,23.7,83.8
January,1987,23.1,216.7
July,1987,16.2,0
June,1987,16.4,0
March,1987,24.1,35.6
May,1987,20.2,5.5
November,1987,26,37.4
October,1987,24.6,11.1
September,1987,23.4,3.7
April,1988,22,1.1
August,1988,18.8,0
December,1988,22.8,135.6
February,1988,22.7,167.7
January,1988,23.2,140.8
July,1988,16.6,0
June,1988,17.5,0
March,1988,22.5,90.3
May,1988,18.3,0
November,1988,23.7,35.5
October,1988,24.6,16.2
September,1988,22.4,0
April,1989,20.5,2.2
August,1989,19,0
December,1989,24,145.6
February,1989,22.3,432.3
January,1989,22.5,362.7
July,1989,16.3,0
June,1989,17,0
March,1989,22.2,107.8
May,1989,18.4,0
November,1989,24.4,43.3
October,1989,24.2,1
September,1989,22,0
April,1990,21.6,43.9
August,1990,18.6,0
December,1990,23.5,183.5
